title,text,authors,published_date,url,scraped_date
"Kash Patel Embraces the Limelight, Unlike Recent F.B.I. Directors","Kash Patel flew to Miami on Air Force One last weekend to watch an Ultimate Fighting Championship event, wearing his signature wraparound sunglasses — at least the second time he has gone to a mixed-martial arts fight as F.B.I. director.

Days earlier, he showed up at two N.H.L. games, grinning in photographs with the hockey legend Wayne Gretzky. At one, in Washington, Mr. Patel, who has played the sport since he was a child, was spotted in the owner’s suite as he watched the Capitals player Alex Ovechkin tie Mr. Gretzky’s scoring record.

And since taking over the agency, Mr. Patel has been a noticeable presence at President Trump’s side, delivering a warm-up speech at the Justice Department before Mr. Trump himself spoke and hovering behind him during the U.F.C. match in Miami.

Mr. Patel, 44, seems to relish his new status as director, cutting a highly visible path while running the most important law enforcement agency in the nation. His embrace of the spotlight appears to be a break from the recent past. Previous directors did the job with little fanfare, deflecting any attention that might detract from the work of the bureau.","['Adam Goldman', 'Aric Toler']",2025-04-20,https://www.nytimes.com/2025/04/20/us/politics/kash-patel-spotlight-fbi-director.html,2025-04-20
"Thousands across the US protest Trump, again","Thousands join anti-Trump protests across US

10 hours ago Share Save Ana Faguy BBC News, Washington DC Share Save

Reuters

Thousands took to the streets across the US on Saturday to protest over recent actions by President Donald Trump. Known as ""50501"", for ""50 protests, 50 states, 1 movement"", the demonstrations were intended to coincide with the 250th anniversary of the start of the American Revolutionary War. From outside the White House and Tesla dealerships and at the centres of many cities, protesters expressed a variety of grievances. Many called for the return of Kilmar Ábrego García, who was mistakenly deported to El Salvador. Political protests are becoming more common in the US - the ""Hands Off"" demonstrations in early April drew tens of thousands in cities across the country.

Getty Images Outside the White House

Reuters New York City

The most recent polling from Gallup suggests 45% of voters approve of Trump's performance in the first quarter of his term, which is more than the 41% who approved during the same period in his first administration. Still, it is lower than the average first-quarter rating of 60% for all presidents elected between 1952 and 2020. Saturday's protests addressed a number of Trump actions, including those by the Department of Government Efficiency (Doge) - Trump's initiative to cut US government jobs and other spending - and the administration's unwillingness to bring about the return of Ábrego García, a citizen of El Salvador. Gihad Elgendy told CNN he joined the protest at the White House to criticise the deportation of Ábrego García. He believes Trump ""could easily pressure El Salvador to bring him back"". The protests were generally reported as peaceful, although Representative Suhas Subramanyam, a Democrat, posted a video on X of a man holding a Trump sign and pushing through a crowd to angrily confront him. Many demonstrators carried signs reading ""No Kings,"" a nod to the anniversary of the start of the country's revolution against British rule. During celebrations of the anniversary in Massachusetts that commemorated the battles of Lexington and Concord and the famous horse ride of Paul Revere, people held similar signs. There was also a 50501 demonstration in Boston on Saturday. ""This is a very perilous time in America for liberty,"" Thomas Bassford, told the Associated Press, while in Boston with his partner, daughter and two grandsons. ""I wanted the boys to learn about the origins of this country and that sometimes we have to fight for freedom.""

Getty Images A Tesla dealership in Florida

Getty Images Parade goers in Lexington, Massachusetts

Trump's popularity appears to be edging down, especially when it comes to the economy. When he took office in January, his approval rating was 47%, according to Gallup. His approval rating in a recent Reuters/Ipsos poll similarly dipped to 43% from 47% on Inauguration Day. In the same poll, only 37% approved of his performance on the economy, compared to 42% during inauguration. Earlier this month, hundreds of thousands of Americans gathered for the largest nationwide show of opposition since Trump returned to the White House. Those protests - which were larger than Saturday's - happened in 1,200 locations in all 50 US states.",[],,https://www.bbc.com/news/articles/czjn0410e3zo,2025-04-20
Qatar's chief negotiator says 'frustrated' by pace of Gaza talks,"Qatar's chief negotiator voiced frustration over talks for a truce in Gaza in an interview with AFP, a month after Israel resumed its strikes on the Palestinian territory and another round of negotiations ended without a deal.

""We're definitely frustrated by the slowness, sometimes, of the process in the negotiation. This is an urgent matter. There are lives at stake here if this military operation continues day by day,"" Mohammed Al-Khulaifi said on Friday.

Qatar, with the United States and Egypt, brokered a truce in Gaza between Israel and Hamas which came into force on January 19 and largely halted over a year of war triggered by Palestinian militants' October 7, 2023, attack on Israel.

The initial phase of the truce ended in early March, with the two sides unable to agree on the next steps.

Hamas has insisted that negotiations be held for a second phase to the truce, leading to a permanent end to the war, as outlined in the January framework.

Israel, which had called for an extension to the opening phase, resumed air and ground attacks across the Gaza Strip on March 18 after earlier halting the entry of aid.

Late on Thursday, Hamas signalled the group would not accept Israel's newest proposal for a 45-day ceasefire. Israel had wanted the release of 10 living hostages held by the Palestinian group, the militant group said.

- 'Noise' -

""We've been working continuously in the last days to try to bring the parties together and revive the agreement that has been endorsed by the two sides,"" the Qatari minister of state said.

""And we will remain committed to this, in spite of the difficulties,"" he added.

During the long mediation process, Qatar has been the target of direct criticism from Israel and Israeli Prime Minister Benjamin Netanyahu.

At least two of Netanyahu's aides are suspected of receiving payments from the Qatari government to promote Doha's interests in Israel, prompting an Israeli criminal probe. Qatar has dismissed the attacks as a ""smear campaign"".

Earlier in March, an investigation by Israel's domestic security agency attributed funds from the Gulf state to an increase in Hamas's military strength before the October 7 attack. Qatar has rebuffed the accusation as ""false"".

""We've been receiving those types of criticism and negative comments since the early times of our involvement,"" Al-Khulaifi said.

""Critiques without any context, such as the ones that we keep hearing from Netanyahu himself, are often just noise,"" he added.

Al-Khulaifi rejected recent remarks from Netanyahu to the US-based evangelical Christian channel Daystar that Qatar had promoted ""anti-Americanism and anti-Zionism"" on US college campuses.

- 'De-escalation' -

""His claims about Qatar's educational partnerships have been repeatedly disproven. Everything we do is transparent,"" the Qatari official added.

Qatar, with Al-Khulaifi as its lead negotiator, has emerged as a facilitator in the conflict in the Democratic Republic of Congo that has flared in recent months, with the armed M23 group making a series of rapid gains in the country's resource-rich east.

In early March, Congolese President Felix Tshisekedi and his Rwandan counterpart, Paul Kagame, who is accused of backing the M23, held surprise meetings in Doha and later expressed their support for a ceasefire.

""This meeting happened to really find a pathway towards de-escalation and more of an agreement on an implementation mechanism,"" Al-Khulaifi said.

""We've managed to create this flexible line of communication between the two sides, and we're hoping there are more successes than you can hear within the next days,"" the Qatari minister added.

Al-Khulaifi said following the meetings between the leaders that Qatar had convinced the M23, Rwanda and the DRC to ""de-escalate"" near the strategic mining hub of Walikale.

This allowed ""a process of withdrawing from Walikale to the eastern sides, to Goma. That movement by itself was, in our view, a positive development,"" he added, referring to the M23-held capital of DR Congo's North Kivu Province.

Al-Khulaifi said the United States had been ""a reliable partner"" in DR Congo and he hoped to discuss the conflict with the US envoy for Africa, Massad Boulos, in Washington in the coming days.

In the United States, Khulaifi said he would also raise the issue of ongoing sanctions on Syria following the ousting of president Bashar al-Assad.

Along with Qatari funding for gas supplies to Syria, Qatar is discussing with regional partners an increase in public sector salaries in the country.

""We're discussing it very closely with our US colleagues to see, how can we move on within this project,"" Al-Khulaifi said.",['Callum Paton'],,https://www.al-monitor.com/originals/2025/04/qatars-chief-negotiator-says-frustrated-pace-gaza-talks,2025-04-20
US attacks on Yemen tell Iran that US is “eyeing confrontation”,"Toggle Play

US attacks on Yemen tell Iran that US is ""eyeing confrontation""",[],2025-04-20,https://www.aljazeera.com/video/quotable/2025/4/20/us-attacks-on-yemen-tell-iran-that-us-is-eyeing-confrontation?traffic_source=rss,2025-04-20
Oldest serving US astronaut returns to Earth on 70th birthday,"Oldest serving US astronaut returns to Earth on 70th birthday

Don Pettit has now spent a total of 590 days in space during his four missions

America's oldest serving astronaut Don Pettit has returned to Earth on his 70th birthday.

The Soyuz MS-26 space capsule carrying Pettit and his Russian crewmates Alexey Ovchinin and Ivan Vagner made a parachute-assisted landing in Kazakhstan's steppe at 06:20 local time (01:20 GMT) on Sunday.

They spent 220 days on board the International Space Station (ISS), orbiting the Earth 3,520 times, the US space agency Nasa said.

For Pettit - who has now spent a total of 590 days in space - it was his fourth mission.

Still, he is not the oldest person to fly in orbit - that record belongs to John Glenn, who aged 77 flew on a Nasa mission in 1998. He died in 2016.",[],,https://www.bbc.com/news/articles/czx1g0q43gqo,2025-04-20
Israel's unmanned bulldozers breaking ground in Gaza war,"At first glance, there is nothing unusual about the bulky bulldozer turning up soil at a testing site in central Israel, but as it pulled closer it became clear: the driver's cabin is eerily empty.

This is the Robdozer, a fortified engineering vehicle manned remotely, and in this case operated from a military expo halfway across the globe in Alabama.

Army engineers and military experts say that the Robdozer -- the robotic version of Caterpillar's D9 bulldozer -- is the future of automated combat.

The Israeli military has used D9 for years to carry out frontline tasks like trowelling roads for advancing troops, removing rubble and flattening terrain.

But since war in Gaza broke out in October 2023 and later in Lebanon, the Israeli military has increasingly deployed this robotic version in a bid to enhance its field operations and reduce the risks to its troops.

""The idea is to eliminate the person from the cockpit of the dozer,"" said Rani, whose team at the state-owned Israel Aerospace Industries developed the Robdozer.

During the Gaza war, the military has increasingly opted for the unmanned version, which can carry out a full range of tasks ""even better than a human"", said Rani, using his first name only for security reasons.

While such vehicles and other systems are currently operated by humans, future versions could be autonomous, raising ethical and legal concerns over the unchartered future of warfare being shaped by the Israeli military in the Gaza war.

- 'Changing the paradigm' -

Israel's increasing use of advanced technology on the battlefield, from air defence systems to a broad range of AI-driven intelligence tools, has been well-documented but also criticised for inaccuracies, lack of human oversight and potential violations of international law.

Analysts say the growing Israeli deployment of the Robdozer reflects broader global trends towards automation in heavy combat vehicles, like remote-controlled personnel carriers that operate much like drones.

An Israeli military official, who requested anonymity to discuss sensitive matters, told AFP that the army has been using ""robotic tools for over a decade, but in very small numbers. Now it is being used in large-scale warfare"".

Troops can now operate machinery without having to enter enemy territory, said the official.

Andrew Fox, a retired British army major and a research fellow at the London-based Henry Jackson Society, said the Israeli military was likely the first force to use remote-controlled combat machinery in an active war zone.

""It's a really big development"" that is ""changing the paradigm"" of warfare, carrying out tasks as effectively but at a far reduced risk to personnel, he said.

- New era -

""This is the future,"" said John Spencer, chair of urban warfare studies at the US military's Modern War Institute at West Point.

Many ""have been experimenting with it, but nobody has seen direct deployment into active modern combat,"" he added. ""It is very unique.""

But beyond ethical and legal drawbacks to such advanced technology, there is also the need for an overriding human presence to make decisions particularly in unusual situations.

Hamas's October 7, 2023 attack on Israel that sparked the Gaza war was a disastrous example for that, when Palestinian militants breached the high-security border, said Tal Mimran of the Hebrew University of Jerusalem.

""I think that October 7 showed us that you can build a wall that may cost $1 billion, but if you do not patrol the border, then someone will infiltrate your country,"" said Mimran, a lecturer and researcher of international law who has been closely following the Israeli military's technological developments.

""We must take note of the opportunities and of the risks of technology,"" he said.

""This is the era in which artificial intelligence is exploding into our lives, and it is only natural that it will also have a manifestation in the security field.""",['Ruth Eglash'],,https://www.al-monitor.com/originals/2025/04/israels-unmanned-bulldozers-breaking-ground-gaza-war,2025-04-20
Trump tariffs: DHL suspends high value US deliveries,"DHL suspends high value US deliveries over tariffs

Previously, packages worth up to $2,500 could enter the US with minimal paperwork but due to tighter customs checks that came into force alongside Trump's tariffs earlier this month, the threshold has been lowered.

It added that business-to-business shipments will still go ahead, ""though they may also face delays"".

The delivery giant said it will temporarily stop shipments from companies in all countries to American consumers on Monday ""until further notice"".

DHL Express is suspending deliveries to the US worth more than $800 (£603) because of a ""significant increase"" in red tape at customs following the intruduction of Donald Trump's new tariff regime.

DHL said that the change ""has caused a surge in formal customs clearances, which we are handling around the clock"".

It said that while it is working to ""scale up and manage this increase, shipments woth over $800, regardless of origin, may experience multi-day delays"".

The company said it will still deliver packages worth less than $800, which can be sent to the US with minimal checks.

But the White House is set to clamp down on deliveries under $800 - specifically those sent from China and Hong Kong - on 2 May when it closes a loophole allowing low-value packages to enter the US without incurring any duties.

The removal of the so-called ""de minimis"" rule will impact the likes of the fast-fashion firm Shein and Temu, the low-cost retail giant.

Shein and Temu have both warned that they will increase prices ""due to recent changes in global trade rules and tariffs"".

The Trump administration has claimed that ""many shippers"" in China ""hide illicit substances and conceal the true contents of shipments sent to the US through deceptive shipping practices"".

Under an excutive order, the White House said the measures were aimed at ""addressing the synthetic opioid supply chain"" which it said ""play a significant role in the synthetic opioid crisis in the US"".

Beijing has said that the opioid fentanyl is a ""US problem"" and China has the strictest drug policies in the world.

Last week, Hongkong Post said it was suspending packages sent to the US by sea and, from 27 April, would stop accepting parcels destined for America.

It said: ""The US is unreasonable, bullying and imposing tariffs abusively.""",[],,https://www.bbc.com/news/articles/c1jx9ep5l63o,2025-04-20
Peter Navarro: The Architect of Trump’s Tariffs,"On a clear day last July in Miami, Peter Navarro emerged from four months in federal prison, where he’d been imprisoned for contempt of Congress. Mr. Navarro had refused to testify in an investigation of the Jan. 6 attack on the Capitol, an action he described as a defense of the Constitution.

Just hours after his release from prison, Mr. Navarro flew to Milwaukee to speak at the Republican National Convention in support of Donald J. Trump’s re-election.

“They convicted me, they jailed me. Guess what? They did not break me,” he said that night, punctuating each word as the crowd roared. It was an exercise in loyalty to Mr. Trump that seems to have paid off.

For much of Mr. Trump’s first term, Mr. Navarro, a trade adviser, had been sidelined, mocked and minimized by other officials who saw his protectionist views on trade as factually wrong and dangerous for the country.",['Ana Swanson'],2025-04-20,https://www.nytimes.com/2025/04/20/business/economy/peter-navarro-trump-tariffs.html,2025-04-20
Trump Draft Order Would Drastically Overhaul U.S. State Department,"A draft White House executive order proposes a drastic restructuring of the State Department, including eliminating almost all of its Africa operations and shutting down embassies and consulates across the continent.

The draft also calls for cutting offices at State Department headquarters that address climate change and refugee issues, as well as democracy and human rights concerns.

The purpose of the executive order, which could be signed by President Trump this week, is to impose “a disciplined reorganization” of the State Department and “streamline mission delivery” while cutting “waste, fraud and abuse,” according to a copy of the 16-page draft order obtained by The New York Times. The department is supposed to make the changes by Oct. 1.

The signing of the executive order would be accompanied by efforts to lay off both career diplomats, known as foreign service officers, and civil service employees, who usually work in the department’s headquarters in Washington, said current and former U.S. officials familiar with the plans. The department would begin putting large numbers of workers on paid leave and sending out notices of termination, they said.",['Edward Wong'],2025-04-20,https://www.nytimes.com/2025/04/20/us/politics/trump-state-department-overhaul.html,2025-04-20
"Vaibhav Suryavanshi, 14, makes history as youngest ever player in cricket's Indian Premier League- hits first ball six","Fourteen-year-old Vaibhav Suryavanshi has made history by becoming the youngest player to play in the Indian Premier League (IPL) - and promptly hit the first ball he faced for a six.

Opening the batting Suryavanshi, who only turned 14 last month, came on as an impact substitute for Rajasthan Royals and scored 34 runs off 20 balls, announcing himself on the big stage by hitting the first ball over extra cover for a maximum.

Suryavanshi hit three sixes and two fours during his 20-ball cameo before he was stumped by Lucknow Super Giants' captain Rishabh Pant.

The teenager was replacing Rajasthan's injured skipper Sanju Samson, who suffered an injury to his side against Delhi Capitals in their previous game.

Image: Suryavanshi looks dejected as he walks after losing his wicket. Pic: Reuters

Read more from Sky News:

Carlo Acutis: How do you become a saint

Macron to beat Trump to UK state visit - report

Suryavanshi became the youngest player bought in an IPL auction when he was signed by Rajasthan Royals for £105,000.

His selection came just weeks after he smashed a 58-ball hundred for India U19s against Australia U19s in an unofficial test in Chennai.

Get Sky News on WhatsApp Follow our channel and never miss an update Tap here to follow

Suryavanshi, who was born in 2011, holds another record as the first IPL cricketer born after the tournament began in 2008.

The previous youngest IPL debutant was Prayas Rai Burman, who featured in 2019 aged 16 and 154 days for Royal Challengers Bengaluru.

Meanwhile, Afghanistan's Mujeeb ur Rahman is the youngest international cricketer in the IPL, debuting at 17 in 2018 for Punjab Kings.",['Sky Uk Limited'],,https://news.sky.com/story/vaibhav-suryavanshi-14-makes-history-as-youngest-ever-player-in-crickets-indian-premier-league-hits-first-ball-six-13352258,2025-04-20
"Strawberries Aren’t Ripe for Africa? His Farms Disprove That, Deliciously.","When Thierno Agne was a student casting about for a lucrative career, he told his agriculture professor he was considering growing strawberries in Senegal.

“You will fail,” he remembered the professor warning.

He didn’t listen, and now, at 36, Mr. Agne runs one of the biggest strawberry farms in the country.

He had not even wanted to be a farmer. He had started his higher education by studying law. But then, he shocked his family by switching to agriculture when he realized there were already more law graduates in Senegal than there were jobs available.

Still, despite the glut of legal graduates, his shift in focus was an unusual move for an ambitious young man in a country where farming is seen as a job for old, uneducated or poor people.","['Saikou Jammeh', 'Carmen Abd Ali']",2025-04-20,https://www.nytimes.com/2025/04/20/world/africa/senegal-strawberry-farmer-profile.html,2025-04-20
"Inside a City Swept by Roving Gunmen, Deadly Grudges and Fear","The Syrian city was nearly empty in early March, its streets littered with burned cars. Shops were plundered, their windows shattered and locks shot off. Some buildings were little more than blackened walls and ash.

Emergency workers had turned a looted furniture store into a makeshift morgue. A white pickup truck pulled up, a pair of feet dangling over the back in pink socks with white polka dots. Minutes later, an ambulance arrived with two other bodies, then a blue pickup appeared carrying more.

Nearby, men pleaded with emergency workers to help collect the remains of their killed loved ones.

“There’s seven bodies in that building.”

“There’s another body on the square.”

“There are at least 40 bodies on one road.”

The city, Baniyas, was the site of some of the worst violence in Syria last month, when thousands of armed men stormed the country’s Mediterranean coast and killed more than 1,600 civilians, mostly from the Alawite religious minority.","['Christina Goldbaum', 'David Guttenfelder']",2025-04-20,https://www.nytimes.com/2025/04/20/world/middleeast/syria-alawite-massacre.html,2025-04-20
Tunisian court hands prison sentences of up to 66 years in mass trial of regime opponents,"A Tunisian court has handed down prison sentences of 13 to 66 years to politicians, businessmen and lawyers in a mass trial that opponents say is fabricated and a symbol of president Kais Saied’s authoritarian rule.

Businessman Kamel Ltaif received the longest sentence of 66 years on Saturday, while opposition politician Khayam Turki was given a 48-year jail term, a lawyer for the defendants said.

The court also sentenced prominent opposition figures, including Ghazi Chaouachi, Issam Chebbi, Jawahar Ben Mbarek and Ridha Belhaj, to 18 years in prison. They have been in custody since 2023.

Forty people were being prosecuted in the trial that started in March. More than 20 have fled abroad since being charged.

Saied secured a second five-year term in 2024 with 90.7% of the vote after coming to power in 2019. Rights groups say he has had full control over the judiciary since he dissolved parliament in 2021 and began ruling by decree. He dissolved the independent supreme judicial council and sacked dozens of judges in 2022.

“We are not surprised by these unjust and vengeful verdicts that seek to silence the voices of these opposition figures,” Chaouachi’s son Youssef said

“I have never witnessed a trial like this. It’s a farce, the rulings are ready, and what is happening is scandalous and shameful,” said defence lawyer Ahmed Souab on Friday before the ruling was handed down.

Authorities say the defendants, who also include former officials and the former head of intelligence Kamel Guizani, tried to destabilise the country and overthrow Saied.

“The authorities want to criminalise the opposition,” said the leader of the main National Salvation Front opposition coalition, Nejib Chebbi, on Friday. Chebbi was also among the defendants.

Saied said in 2023 the politicians were “traitors and terrorists” and that judges who would acquit them were their accomplices.

The opposition leaders involved in the case accuse Saied of staging a coup in 2021 and say the case is fabricated to stifle the opposition and establish a one-man, repressive rule.

They say they were preparing an initiative aimed at uniting the fragmented opposition to face the democratic setback in the cradle of the Arab spring uprisings.

Most of the leaders of political parties in Tunisia are in prison, including Abir Moussi, the leader of the Free Constitutional party, and Rached Ghannouchi, the head of Ennahda – two of Saied’s most prominent opponents.",[],2025-04-20,https://www.theguardian.com/world/2025/apr/20/tunisia-court-prison-sentences-kais-saied,2025-04-20
Zelenskyy accuses Putin of creating ‘impression’ of a ceasefire and says Russian shelling has continued – Ukraine war live,"08.30 BST Zelenskyy accuses Russia of creating an 'impression' of a ceasefire as shelling on Ukraine continues

Welcome back to our live coverage of Russia’s war on Ukraine.

Ukrainian President Volodymyr Zelenskyy has accused Russia of creating a mere “impression” of a ceasefire as Moscow reportedly continued shelling areas of Ukraine overnight.

In a televised meeting with his commander-in-chief on Saturday, Russian President Vladimir Putin said the temporary ceasefire would last from 6pm Moscow time (4pm BST) on Saturday until midnight (10pm BST) on Sunday.

Putin claimed he had ordered his forces to “stop all military activity” along the frontline during this window for “humanitarian reasons”.

1:01 Putin declares temporary Easter ceasefire in Ukraine – video

But Zelenskyy said there had been hundreds of instances of shelling on Saturday evening. Early on Sunday, Ukrainian forces reported 59 instances of shelling and five assault attempts along the frontline, he said.

In a post on X, the Ukrainian president wrote:

Overall, as of Easter morning, we can state that the Russian army is attempting to create the general impression of a ceasefire, while in some areas still continuing isolated attempts to advance and inflict losses on Ukraine. Russia must fully comply with the conditions of the ceasefire. Ukraine’s proposal to implement and extend the ceasefire for 30 days after midnight tonight remains on the table. We will act in accordance with the actual situation on the ground.

Previous attempts at holding ceasefires for Easter in April 2022 and Orthodox Christmas in January 2023 were not implemented after both sides failed to agree on them.

The aftermath of a Russian attack on the frontline town of Kostiantynivka in the Donetsk region of eastern Ukraine.

Photograph: Ukrainian Armed Forces/Reuters

In some other developments:",['Yohannes Lowe'],2025-04-20,https://www.theguardian.com/world/live/2025/apr/20/ukraine-russia-zelenskyy-putin-war-easter-truce-impression-ceasefire-live-latest-updates,2025-04-20
